Rank,Company,Revenue USD billions,F.Y.,Employees,Market cap. USD billions,Headquarters,Founded,Industry,Refs
1,Amazon,0.0,2021,1608000.0,0.0,Seattle,1994,Ecommerce,[1][2]
2,Alphabet,0.0,2021,156500.0,0.0,Mountain View,1998,Internet,[3][4]
3,JD.com,0.0,2021,385357.0,0.0,Beijing,1998,Ecommerce,[5][6]
4,Meta,0.0,2021,71970.0,0.0,Menlo Park,2004,Social Media,[7][8]
5,Alibaba,0.0,2021,251462.0,0.0,Hangzhou,1999,Ecommerce,[9][10]
6,Tencent,0.0,2021,112771.0,0.0,Shenzhen,1998,Internet,[11][12]
7,ByteDance,0.0,2021,110000.0,0.0,Beijing,2012,Social Media,[13][14]
8,Netflix,0.0,2021,12135.0,0.0,Los Gatos,1997,Entertainment,[15][16]
9,Meituan,0.0,2021,100033.0,0.0,Beijing,2010,Ecommerce,[17][18]
10,PayPal,0.0,2021,30900.0,0.0,San Jose,1998,Financial Services,[19][20]
11,Wildberries,0.0,2022,154000.0,0.0,Moscow,2004,Ecommerce,0
12,Salesforce.com,0.0,2021,49000.0,0.0,San Francisco,1999,Software,[21][22]
13,Suning.com,0.0,2021,69398.0,0.0,Nanjing,1990,Ecommerce,[23]
14,Ozon,0.0,2023,40000.0,0.0,Moscow,1998,Ecommerce,0
15,Baidu,0.0,2021,45500.0,0.0,Beijing,2000,Internet,[24][25]
16,Otto Group,0.0,2020,49895.0,0.0,Hamburg,2005,Ecommerce,0
17,Block,0.0,2021,8521.0,0.0,San Francisco,2009,Financial Services,[26][27]
18,Uber,0.0,2021,29300.0,0.0,San Francisco,2009,Transportation,[28][29]
19,Adobe,0.0,2021,25988.0,0.0,San Jose,1982,Software,[30][31]
20,Shein,0.0,2021,10000.0,0.0,Nanjing,2008,Ecommerce,[32]
21,Rakuten,0.0,2021,23841.0,0.0,Tokyo,1997,Ecommerce,[33][34]
22,NetEase,0.0,2021,32064.0,0.0,Hangzhou,1997,Internet,[35][36]
23,Wayfair,0.0,2021,16681.0,0.0,Boston,2005,Ecommerce,[37][38]
24,Kwai,0.0,2021,28098.0,0.0,Beijing,2011,Social Media,[39]
25,Spotify,0.0,2021,8230.0,0.0,Stockholm,2006,Audio Streaming,[40][41]
26,eBay,0.0,2021,10800.0,0.0,San Jose,1995,Ecommerce,[42][43]
27,Bloomberg L.P.,0.0,2019,20000.0,0.0,New York City,1981,Financial Services,[44][45]
28,Zalando,0.0,2020,14194.0,0.0,Berlin,2008,Ecommerce,[46][47]
29,Yahoo,0.0,2020,10030.0,0.0,Sunnyvale,2017,Search engine,0
30,Chewy,0.0,2020,18500.0,0.0,Dania Beach,2011,Ecommerce,[48][49]
31,Yandex,0.0,2022,11864.0,0.0,Moscow,1997,Internet,[50][51]
32,Booking,0.0,2020,20300.0,0.0,Norwalk,1996,Travel,[52][53]
33,Coupang,0.0,2019,10000.0,0.0,SeoulDelaware[54],2010,Ecommerce,[55]
34,Naver,0.0,2019,15148.0,0.0,Seongnam,1999,Internet,[56][57]
35,Carvana,0.0,2020,10400.0,0.0,Tempe,2013,Ecommerce,[58][59]
36,Epic Games,0.0,2019,1000.0,0.0,Cary,1999,Video Games,0
37,Expedia,0.0,2020,19100.0,0.0,Bellevue,1996,Travel,[60][61]
38,ServiceNow,0.0,2020,13096.0,0.0,Santa Clara,2004,Software,[62][63]
39,ASOS.com,0.0,2020,3824.0,0.0,London,2000,Ecommerce,[64][65]
40,Sea Limited,0.0,2020,33800.0,0.0,Singapore,2009,Ecommerce,[66][67]
41,Pinduoduo,0.0,2019,5828.0,0.0,Shanghai,2015,Ecommerce,[68][69]
42,Workday,0.0,2020,12500.0,0.0,Pleasanton,2005,Software,[70][71]
43,Bet365,0.0,2019,4708.0,0.0,Stoke-on-Trent,2000,Online Gambling,[72]
44,Twitter,0.0,2020,5500.0,0.0,San Francisco,2006,Social Media,[73][74]
45,"Compass, Inc.",0.0,2020,18000.0,0.0,New York,2010,Real estate broker,[75]
46,Kakao,0.0,2020,8602.0,0.0,Jeju City,2010,Internet,[76][77]
47,Stripe,0.0,2018,2500.0,0.0,San Francisco  Dublin[78],2010,Financial Services,0
48,Airbnb,0.0,2020,5597.0,0.0,San Francisco,2008,Lodging,[79][80]
49,Zillow,0.0,2020,5249.0,0.0,Seattle,2006,Real Estate,[81][82]
50,GoDaddy,0.0,2020,6621.0,0.0,Scottsdale,2004,Web Hosting,[83][84]
51,Akamai Technologies,0.0,2020,8368.0,0.0,"Cambridge, Massachusetts",1998,Cybersecurity,[85]
52,wework,0.0,2020,6000.0,0.0,New York City,2010,Real estate technology,0
53,Infor,0.0,2020,18000.0,0.0,New York,2002,Software as service,0
54,Shopify,0.0,2020,7000.0,0.0,Ottawa,2004,Ecommerce,[86][87]
55,DoorDash,0.0,2020,3886.0,0.0,San Francisco,2013,Delivery,[88]
56,Trip.com,0.0,2020,33400.0,0.0,Shanghai,1999,Travel,[89][90]
57,Rackspace,0.0,2020,7200.0,0.0,"San Antonio, Texas",1998,Information Technology,[91][92]
58,EPAM Systems,0.0,2019,3650.0,0.0,"Newtown, Pennsylvania",1993,Information Technology,0
59,Zoom Video,0.0,2020,4422.0,0.0,"San Jose, California",2011,Internet Telecommunication,[93]
60,Opendoor,0.0,2020,1048.0,0.0,San Francisco,2011,Internet Real Estate,[citation needed]
61,Beyond,0.0,2020,1750.0,0.0,Midvale,1999,Ecommerce,[94][95]
62,Travelport,0.0,2018,3700.0,0.0,"Cumberland, Georgia",2001,Travel,[96]
63,Wish,0.0,2020,875.0,0.0,San Francisco,2008,Ecommerce,[97]
64,The Stars Group,0.0,2019,4591.0,0.0,Toronto,2001,Online Gambling,[98][99]
65,Snap,0.0,2020,3863.0,0.0,Santa Monica,2011,Social Media,[91][100]
66,Coolblue,0.0,2020,6361.0,0.0,Rotterdam,1999,Ecommerce,0
67,Match Group,0.0,2020,1900.0,0.0,Dallas,2006,Online Dating,[101][102]
68,Lyft,0.0,2020,4675.0,0.0,San Francisco,2010,Transportation,[103][104]
69,Fanatics,0.0,2018,1800.0,0.0,Jacksonville,1995,Ecommerce,[105]
70,58.com,0.0,2019,21743.0,0.0,Beijing,2005,Online Directory,[106][107]
71,Copart,0.0,2020,7600.0,0.0,Dallas,1982,Automotive,[108][109]
72,CDK Global,0.0,2020,9000.0,0.0,Illinois,2014,Automotive Ecommerce,0
73,Sina Corp,0.0,2019,8300.0,0.0,Beijing,1998,Internet,[110][111]
74,Newegg,0.0,2019,3700.0,0.0,City of Industry,2003,Ecommerce,[112]
75,Instacart,0.0,2017,5755.0,0.0,San Francisco,2012,Hyperlocal Delivery,[113]
76,Shutterfly,0.0,2018,7500.0,0.0,"Redwood City, California",1998,Photography,0
77,BMC Software,0.0,2019,6000.0,0.0,"Houston, Texas",1980,software as service,0
78,Zynga,0.0,2020,2245.0,0.0,San Francisco,1998,Video Games,[114][115]
79,Roblox Corporation,0.0,2021,1600.0,0.0,San Mateo,2004,Online gaming,0
80,Dropbox,0.0,2020,2760.0,0.0,San Francisco,2007,Cloud Storage,0
81,B2W,0.0,2020,9050.0,0.0,Rio de Janeiro,2006,Ecommerce,[116][117]
82,Grubhub,0.0,2020,2841.0,0.0,Chicago,2001,Online Food Ordering,[118][119]
83,Twilio,0.0,2020,4629.0,0.0,San Francisco,2008,Telecommunication,[120][121]
84,Stitch Fix,0.0,2020,8000.0,0.0,San Francisco,2009,Personalized Services,[122][123]
85,Etsy,0.0,2020,1414.0,0.0,New York,2002,Ecommerce,0
86,Pinterest,0.0,2020,2545.0,0.0,San Francisco,2009,Social Media,[124][125]
87,Farfetch,0.0,2020,5441.0,0.0,London  Lisbon,2007,Ecommerce,[126][127]
88,Klarna,0.0,2021,4789.0,0.0,Stockholm,2005,Financial Services,[128][129]
89,Carsome,0.0,2022,4000.0,0.0,"Kuala Lumpur,",2015,Internet,[130][131]
90,J2 Global,0.0,2020,2400.0,0.0,"Los Angeles,",1995,Internet,[132]
91,ANGI Homeservices Inc.,0.0,2020,5100.0,0.0,Denver,1995,Internet,[133][134]
