Rank,Company,Revenue USD billions,F.Y.,Employees,Market cap. USD billions,Headquarters,Founded,Industry,Refs
1,Amazon,620.12,2021,1608000,2490.00,Seattle,1994,Ecommerce,[1][2]
2,Alphabet,339.85,2021,156500,2270.00,Mountain View,1998,Internet,[3][4]
3,JD.com,260.40,2021,385357,390.35,Beijing,1998,Ecommerce,[5][6]
4,Meta,156.22,2021,71970,1803.00,Menlo Park,2004,Social Media,[7][8]
5,Alibaba,109.48,2021,251462,330.67,Hangzhou,1999,Ecommerce,[9][10]
6,Tencent,87.85,2021,112771,562.84,Shenzhen,1998,Internet,[11][12]
7,ByteDance,58.00,2021,110000,353.00,Beijing,2012,Social Media,[13][14]
8,Netflix,39.00,2021,12135,434.46,Los Gatos,1997,Entertainment,[15][16]
9,Meituan,27.77,2021,100033,177.34,Beijing,2010,Ecommerce,[17][18]
10,PayPal,25.37,2021,30900,220.26,San Jose,1998,Financial Services,[19][20]
11,Wildberries,22.26,2022,154000,14.52,Moscow,2004,Ecommerce,
12,Salesforce.com,21.25,2021,49000,212.34,San Francisco,1999,Software,[21][22]
13,Suning.com,21.09,2021,69398,13.47,Nanjing,1990,Ecommerce,[23]
14,Ozon,20.07,2023,40000,7.80,Moscow,1998,Ecommerce,
15,Baidu,19.54,2021,45500,51.77,Beijing,2000,Internet,[24][25]
16,Otto Group,18.27,2020,49895,-,Hamburg,2005,Ecommerce,
17,Block,17.66,2021,8521,74.50,San Francisco,2009,Financial Services,[26][27]
18,Uber,17.46,2021,29300,81.34,San Francisco,2009,Transportation,[28][29]
19,Adobe,15.78,2021,25988,269.35,San Jose,1982,Software,[30][31]
20,Shein,15.70,2021,10000,47.00,Nanjing,2008,Ecommerce,[32]
21,Rakuten,15.30,2021,23841,15.12,Tokyo,1997,Ecommerce,[33][34]
22,NetEase,13.75,2021,32064,67.76,Hangzhou,1997,Internet,[35][36]
23,Wayfair,13.71,2021,16681,19.86,Boston,2005,Ecommerce,[37][38]
24,Kwai,12.75,2021,28098,38.74,Beijing,2011,Social Media,[39]
25,Spotify,11.44,2021,8230,44.82,Stockholm,2006,Audio Streaming,[40][41]
26,eBay,10.42,2021,10800,41.62,San Jose,1995,Ecommerce,[42][43]
